total_num,total_sum_dir,total_avg,inpkt_num,inpkt_avg,inpkt_sum,inpkt_num_frac_total,inpkt_avg_ordering,inpkt_std_ordering,inpkt_num_frac_outpkt,inpkt_sum_firstn,outpkt_num,outpkt_avg,outpkt_sum,outpkt_num_frac_total,outpkt_avg_ordering,outpkt_std_ordering,outpkt_num_frac_inpkt,outpkt_sum_firstn
130,-36864,3.799461538461539,101,4.072772277227724,411.34999999999997,0.7769230769230769,72.46534653465346,36.30469635398651,3.4827586206896552,33.45,29,2.8475862068965516,82.58,0.2230769230769231,36.758620689655174,27.053784453749106,0.2871287128712871,26.21
9927,-4326912,9.884456532688628,9189,9.935013603221243,91292.84,0.9256572982774252,5052.770595276962,2845.096285564643,12.451219512195122,47.40999999999998,738,9.254959349593495,6830.16,0.0743427017225748,3845.2466124661246,2885.4610550409275,0.08031341821743389,33.07
359,-108032,9.328440111420615,285,9.512105263157896,2710.95,0.7938718662952646,184.99649122807017,100.73075100591097,3.8513513513513513,59.250000000000014,74,8.62108108108108,637.96,0.20612813370473537,155.90540540540542,111.1450438912703,0.2596491228070175,46.85
9948,-4539392,7.584565741857659,9407,7.595779738492612,71453.5,0.9456172094893446,4991.0697353034975,2855.7845632127764,17.388170055452864,64.11,541,7.389574861367837,3997.7599999999998,0.05438279051065541,4667.994454713494,3120.4540817794777,0.057510364622089936,24.1
2508,-984064,10.352085326953748,2215,10.22517381489842,22648.76,0.8831738437001595,1256.9697516930023,716.3742413798666,7.559726962457338,73.70000000000003,293,11.31150170648464,3314.27,0.11682615629984051,1227.269624573379,778.715376244877,0.13227990970654627,3.51
5430,-2533376,5.168863720073665,5189,5.178494893042975,26871.21,0.9556169429097606,2725.2314511466566,1560.9812761292583,21.53112033195021,63.000000000000014,241,4.96149377593361,1195.72,0.04438305709023941,2483.4398340248963,1685.4399272755895,0.04644440161880902,2.48
1328,-608256,3.8325828313253014,1258,3.8508426073131954,4844.36,0.947289156626506,667.845786963434,376.92593521546536,17.97142857142857,27.380000000000003,70,3.504428571428572,245.31,0.05271084337349398,585.4,477.9582288981209,0.05564387917329094,22.42
4463,-2086400,9.768377772798567,4269,9.813539470602015,41894.0,0.9565314810665472,2259.486765050363,1273.239363057412,22.00515463917526,62.39999999999999,194,8.77458762886598,1702.27,0.043468518933452834,1604.1443298969073,1449.5585640860713,0.04544389786835325,40.739999999999995
4470,-1957888,10.158814317673379,4147,10.161210513624306,42138.54,0.9277404921700224,2251.171690378587,1298.6740816423123,12.839009287925697,69.29999999999998,323,10.128049535603715,3271.36,0.07225950782997763,2020.4520123839009,1157.5469445390713,0.07788762961176754,31.93
9971,-4666880,7.836872931501355,9543,7.858834747982815,74996.86,0.9570755190051148,5017.958713192917,2865.706230054829,22.296728971962615,29.440000000000005,428,7.347196261682244,3144.6,0.04292448099488517,4250.128504672897,3056.7902038427465,0.044849627999580845,23.43
9981,-4738560,10.26976655645727,9618,10.286870451237263,98939.12,0.9636308987075444,5021.042420461635,2866.094476896789,26.49586776859504,91.83,363,9.816584022038567,3563.42,0.036369101292455665,4167.504132231405,3148.028145228528,0.03774173424828447,43.68
9410,-4037632,6.7363570669500525,8648,6.775616327474561,58595.53,0.9190223166843783,4749.482770582794,2727.293373166915,11.349081364829397,51.14999999999999,762,6.290800524934383,4793.59,0.08097768331562168,4193.98687664042,2534.6503659317723,0.08811285846438482,15.46
1519,-620032,8.289657669519421,1365,8.313919413919415,11348.5,0.8986175115207373,762.5128205128206,433.80560544498263,8.863636363636363,59.55,154,8.07461038961039,1243.49,0.10138248847926268,727.8636363636364,476.94583084539363,0.11282051282051282,6.470000000000001
9956,-4420608,30.588250301325832,9295,30.835805271651424,286618.81,0.9336078746484532,5052.387842926304,2836.579943957928,14.062027231467473,105.19999999999999,661,27.107125567322242,17917.81,0.0663921253515468,3924.425113464448,3175.100145547515,0.07111350188273265,39.42999999999999
6935,-3134976,16.30492429704398,6529,16.291088987593813,106364.52,0.9414563806777217,3518.6713126052996,1977.4955247126004,16.08128078817734,136.82,406,16.527413793103445,6710.13,0.0585436193222783,2636.0591133004928,2200.0414564954726,0.062184101700107214,48.339999999999996
1054,-394240,3.507618595825427,912,3.613782894736842,3295.77,0.8652751423149905,551.8410087719299,301.5640878219664,6.422535211267606,14.249999999999995,142,2.8257746478873242,401.26,0.1347248576850095,363.7464788732394,269.1956573279394,0.15570175438596492,7.27
3706,-1677312,6.339093362115489,3491,6.356671440847895,22191.14,0.9419859686994063,1868.657977656832,1067.1842539683018,16.23720930232558,48.17000000000001,215,6.053674418604653,1301.54,0.058014031300593634,1590.139534883721,1078.5497192105174,0.061586937840160415,22.639999999999997
9948,-4523008,9.610452352231604,9391,9.638332445958897,90513.58,0.9440088459991958,5010.293898413374,2853.0698388508636,16.85996409335727,60.75000000000001,557,9.140394973070018,5091.2,0.055991154000804184,4353.156193895871,3105.0455630591773,0.05931210733681184,10.41
